normalized_name,company_ids,original_names,fair_count,fair_names,same_fair_overlap,scenario,confidence,recommendation,duplicate_relation_count,country_ids,phones,websites,emails
altinsar tekstil,23603|28811|31420,ALTINSAR TEKSTİL SAN. VE TİC. A.Ş | ALTINSAR TEKSTİL  | ALTİNSAR TEKSTİL SAN. VE TİC. A.Ş,2,CFE - Carpet and Flooring Expo | HOMETEX,True,B,RISK,Manual review or relation dedupe,0,1,902762668181,altinsar.com | altinsar.com.tr,altinsar@altinsar.com | mailto@altinsar.com
arif alacam rulman,10908|11125|21349,ARIF ALAÇAM RULMAN TIC. VE SAN. LTD. STI. | ARİF ALAÇAM RULMAN TİC. VE SAN. LTD. ŞTİ. | ARIF ALAÇAM RULMAN TIC. VE SAN. LTD. STI.,2,Maden Türkiye Uluslararası Madencilik Fuarı | Maktek Avrasya,True,B,RISK,Manual review or relation dedupe,0,1,,,info@alacam.com.tr
arlon iplik,4691|7583|31716,ARLON İPLİK SAN. TİC. LTD. ŞTİ.   | ARLON İPLİK SAN.VE TİC.LTD.ŞTİ. | ARLON İPLİK SAN. TİC. LTD. ŞTİ.,2,Texhibition İstanbul | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2126378006,arlontextile.com,export@arlontextile.com | info@arloniplik.com | info@arlontextile.com
beray grup ev gerecleri kalip,5195|20671|21033,BERAY GRUP EV GEREÇLERİ VE KALIP SAN. TİC. | BERAY GRUP EV GEREÇLERİ VE KALIP SAN. TİC. LTD. ŞTİ. | Beray Grup Ev Gereçleri ve Kalıp Sanayi Tic. Ltd. Şti.,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,2125971847,beraygrup.com | pamirplastik.com,info@beraygrup.com | info@pamirplastik.com
bilkim tibbi urunler,10847|13776|29088,BILKIM TIBBI URUNLER SAN. TIC. LTD. STI. | BİLKİM TIBBI ÜRÜNLER SAN. VE TİC. LTD. ŞTİ. | BİLKİM TIBBİ ÜRÜNLER,2,IDEX İSTANBUL | Istanbul Jewelry Show,True,B,RISK,Manual review or relation dedupe,0,1,2323297094,bilkimya.com | dissiad.org.tr,contact@bilkimya.com | info@bilkimya.com | sales@bilkimya.com | salih@bilkimya.com
byd magazacilik tekstil paz,1894|4609|31426,BYD MAGAZACILIK TEKSTIL PAZ. VE TIC. A.S. | BYD MAGAZACILIK TEKSTIL PAZ. VE TIC. A.S. | BYD MAĞAZACİLİK TEKSTİL PAZ. VE TİC. A.Ş.,2,CFE - Carpet and Flooring Expo | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2128867789 | 902128868000,brillant.com,brillant.pazarlama@bydmgz.com | info@byddisticaret.com.tr | sertac.fidanci@brillife.com | yeliz.ayaz@bydmgz.com.tr
eko hali paz,1862|24283|31461,EKO HALI PAZ. SAN. TIC. LTD. STI. | EKO HALI PAZ. SAN. TİC. LTD. ŞTİ. | EKO HALİ PAZ. SAN. TİC. LTD. ŞTİ.,2,CFE - Carpet and Flooring Expo | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,902165900200,ekohali.com | onnorug.com,destek@ekohali.com | info@ekohali.com | info@ekohali.ru | info@essehali.com | info@onnorug.com | musteri.destek@ekohali.com | omer@onnorug.com | outletkeyap@ekohali.com
ender nonwovens,8147|23621|31462,ENDER NONWOVENS | ENDER NONWOVENS  SAN. TİC. A.Ş. | ENDER NONWOVENS  SAN. TİC. A.Ş.,2,CFE - Carpet and Flooring Expo | HOMETEX,True,B,RISK,Manual review or relation dedupe,0,1,902763333363,enfelt.com,ender@enfelt.com | info@endernonwoven.com | info@enfelt.com | sales@endernonwoven.com
feydas makina muhendislik,2445|25698|31859,FEYDAS MAKINA VE MÜHENDISLIK LTD. STI. | FEYDAŞ MAKİNA VE MÜHENDİSLİK LTD. ŞTİ. | FEYDAŞ MAKİNA VE MÜHENDİSLİK LTD.ŞTİ,2,Plast Eurasia İstanbul | RePlast Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,3224280145 | 53094224,feydasmakina.com,export@feydasmakina.com | feydas@feydasmakina.com | info@feydasmakina.com
guleser tekstil,4016|8148|28863,GÜLESER TEKSTIL SAN. VE TIC.A.S. | GULESER TEKSTIL | GÜLESER TEKSTİL SANAYİ VE TİCARET A.Ş.,2,HOMETEX | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2242612525,guleser.com,engin@guleser.com | guleser@guleser.com
gurisik yaglama cihazlari,12421|23029|34409,GÜRIŞIK YAĞLAMA CİHAZLARI A.Ş. | GÜRIŞIK YAĞLAMA CİHAZLARI SAN. VE TİC.A.Ş. | Gürışık Yağlama Cihazları San. ve Tic. A.Ş.,2,Automechanika İstanbul | İstanbul Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,,gurisik.com,alain@gurisik.com.tr | bilgi@gurisik.com.tr | muhasebe@gurisik.com.tr | satis@gurisik.com.tr | servis@gurisik.com.tr | siparis@gurisik.com.tr
hascevher metal,17246|20848|26712,Hascevher Metal San. ve Tic A.Ş | Hascevher Metal A.Ş. | HASCEVHER METAL SAN. VE TİC. A.Ş.,2,Saha Expo | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,3442579570,hascevher.com.tr,hascevher@hascevher.com.tr | info@hascevher.com.tr | sejderha@hascevher.com.tr
hastek plas tekn otomasyon sist paz,2592|26204|32840,HASTEK PLAS. TEKN. OTOMASYON SIST. PAZ. SAN. TIC. LTD. STI. | HASTEK PLAS. TEKN. OTOMASYON SİST. PAZ. SAN. TİC. LTD. ŞTİ. | HASTEK PLAS. TEKN. OTOMASYON SİST. PAZ. SAN. TİC. LTD. ŞTİ,2,Plast Eurasia İstanbul | RePlast Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,2126716050,hastek.com.tr,bilgi@hastek.com.tr | info@hastek.com.tr
infomak mekatronik,3210|14444|29636,INFOMAK MEKATRONİK SANAYİ VE TİCARET | İNFOMAK MEKATRONİK | INFOMAK MEKATRONİK,2,Proses Zirvesi ve Sergisi | WIN EURASIA,True,B,RISK,Manual review or relation dedupe,0,1,2164110745 | 902164110745,infomak.com.tr,info@infomak.com.tr
inter abrasiv,6237|23042|34444,INTER ABRASIV SANAYI VE TICARET A.S. | İNTER ABRASİV SAN.VE TİC.A.Ş. | Inter Abrasiv San. ve Tic. A.Ş.,2,Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | İstanbul Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2362131111,interabrasive.com,info@interabrasive.com
intesa global tekstil,1966|4750|4925,INTESA GLOBAL TEKSTIL SAN. VE TIC. LTD. STI. | İNTESA GLOBAL TEKSTİL SAN. VE TİC. LTD. ŞTİ. | INTESA GLOBAL TEKSTIL SAN. VE TIC. LTD. STI.,2,CFE - Carpet and Flooring Expo | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2124819842,,info@intesagts.com
isb baglanti elemanlari,6239|12899|25453,ISB BAGLANTI ELEMANLARI SAN. TIC. LTD. STI. | ISB BAGLANTI ELEMANLARI SAN. TIC. LTD. STI. | İSB BAĞLANTI ELEMANLARI SAN. TİC. LTD. ŞTİ.,2,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3128151345 | 8151344,isbfasteners.com,info@isbfasteners.com
iskur tekstil enerji,4838|4935|7898,İSKUR TEKSTİL ENERJİ TİCARET SANAYİ A.Ş. | ISKUR TEKSTIL ENERJI TICARET SANAYI A.S. | İSKUR TEKSTİL ENERJİ TİC.VE SAN.A.Ş.,2,Texhibition İstanbul | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3442362000,iskur.com,mail@iskur.com | mail@iskurmarketing.com
izmiryildiz orman urun ins taah mak,3773|18333|31563,IZMIRYILDIZ ORMAN ÜRÜN INS TAAH MAK SAN TIC LTD STI | IZMIRYILDIZ ORMAN ÜRÜN INS TAAH MAK SAN TIC LTD STI | İZMİRYILDIZ ORMAN ÜRÜN İNŞ TAAH MAK SAN TİC LTD ŞTİ,2,KARAVANİST İstanbul | İntermob,True,B,RISK,Manual review or relation dedupe,0,1,2328771045,venni.com.tr,info@izmiryildiz.com.tr | info@venni.com.tr
izvar ambalaj,22167|34186|34748,IZVAR AMBALAJ SAN. TIC. A.S. | İZVAR AMBALAJ SAN. TİC. A.Ş. | IZVAR AMBALAJ SAN. TIC. A.S.,2,Adhesives and Bonding Eurasia | Avrasya Ambalaj,True,B,RISK,Manual review or relation dedupe,0,1,2166802080,izvar.com,info@izvar.com. | sales@izvar.com
kimteks kimya tekstil urunleri,2631|2805|13150,KİMTEKS KİMYA TEKSTİL ÜRÜNLERİ SAN. TİC. A.Ş. | KIMTEKS KIMYA TEKSTIL ÜRÜNLERI SAN. TIC. A.S. | KiMTEKS KiMYA TEKSTiL ÜRÜNLERi TiC. A.Ş,2,Paintistanbul & TURKCOAT  | Plast Eurasia İstanbul,True,B,RISK,Manual review or relation dedupe,0,1,2123252595,kimteks.com.tr,info@kimteks.com.tr | pazarlama@kimteks.com.tr | portal@kimteks.com.tr
linea hali,1981|28915|32465,LINEA HALI SAN. VE TIC. LTD. STI. | LİNEA HALI | LİNEA HALİ SAN. VE TİC. LTD. ŞTİ.,2,CFE - Carpet and Flooring Expo | HOMETEX,True,B,RISK,Manual review or relation dedupe,0,1,903424771030,lineacarpet.com,info@lineacarpet.com
made plastik,6246|23070|34452,MADE PLASTIK SAN. VE TIC. LTD. STI. | MADE PLASTİK SANAYİ VE TİC. LTD.ŞTİ. | Made Plastik San. ve Tic. Ltd. Şti.,2,Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı | İstanbul Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2124860071,madedubel.com,info@madedubel.com
mia metal,6251|12976|25464,MIA METAL SANAYI VE TICARET LIMITED SIRKETI | MIA METAL SANAYI VE TICARET LIMITED SIRKETI | MİA METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,2,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2164308630,miametal.com | miasistem.com,info@miametal.com | info@miasistem.com
miss betty mim ev gerecleri,5335|20957|23710,MISS BETTY (MIM EV GEREÇLERI SAN. VE TIC. LTD. STI.) | MİSS BETTY (MİM EV GEREÇLERİ SAN. VE TİC. LTD. ŞTİ.) | MİSS BETTY (MİM EV GEREÇLERİ SAN. VE TİC. LTD. ŞTİ.),2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,21265920 | 902126592090,miss-betty.com | missbetty.com,hisevim@miss-betty.com | info@miss-betty.com | info@missbetty.com
nigtas,2679|2797|13164,NİĞTAŞ A.Ş. | NIGTAS A.S. | NiĞTAŞ ANONiM ŞiRKETi,2,Paintistanbul & TURKCOAT  | Plast Eurasia İstanbul,True,B,RISK,Manual review or relation dedupe,0,1,3882141500 | 5321350426 | 5336799162,nigtas.com,info@nigtas.com | marketing@nigtas.com | procurement@nigtas.com
ningbo zentec air conditioning refrigeration co,716|727|728,"NINGBO ZENTEC AIR CONDITIONING REFRIGERATION CO., LTD | NINGBO ZENTEC AIR CONDITIONING REFRIGERATION CO., LTD | NINGBO ZENTEC AIR CONDITIONING REFRIGERATION CO., LTD",1,ISK-SODEX,True,B,RISK,Manual review or relation dedupe,0,1,8657489079912,airandus.com | controa.com | zengo.com.cn,sales@livinparts.com | sales@zengo.com.cn
nipas tekstil,4938|7777|24109,NIPAS TEKSTIL SANAYI VE TICARET ANONIM SIRKETI | NİPAŞ TEKSTİL SAN.VE TİC. | NİPAŞ TEKSTİL SANAYİ VE TİCARET ANONİM ŞİRKETİ,2,Texhibition İstanbul | Uluslararası İstanbul İplik Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3442579380 | 53350404,nipastextile.com,info@nipastextile.com
novussi fatih plastik,20992|24349|26637,Novussi Fatih Plastik San. ve Tic. Ltd. Şti. | NOVUSSİ FATİH PLASTİK SAN. TİC. LTD. ŞTİ. | NOVUSSİ FATİH PLASTİK SAN. VE TİC. LTD. ŞTİ. ,2,Zuchex | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3523214070,novussi.com,export@novussi.com | info@novussi.com
orion deri,4549|11560|24403,ORION DERI SAN. VE TIC. LTD. STI. | ORİON DERİ SANAYİ VE TİC. LTD. ŞTİ. | ORİON DERİ SAN. VE TİC. LTD. ŞTİ.,2,BusWorld | İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2122215568,orionderi.com.tr,info@orionderi.com.tr | orion@orionderi.com.tr
redon teknoloji,14140|18056|29266,REDON TEKNOLOJİ A.Ş. | REDON TEKNOLOJI A.S. | REDON TEKNOLOJİ,2,IDEX İSTANBUL | Maktek Avrasya,True,B,RISK,Manual review or relation dedupe,0,1,2164737372 | 5396695552,redon.com,ik@redon.com | info@redon.com | info@redon.comkayitli | servis@redon.com
sa ra enerji ins,6279|12992|25478,SA-RA ENERJI INS. TIC.SAN.A.S. | SA-RA ENERJI INS. TIC.SAN.A.S. | ŞA-RA ENERJİ İNŞ. TİC.SAN.A.Ş.,2,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3223934785,sara.com.tr,info@sara.com.tr
safir cam mamulleri ins,5387|5388|21071,SAFIR CAM MAMÜLLERI INS. TIC. VE SAN. LTD. STI. | SAFİR CAM MAMÜLLERİ İNŞ. TİC. | SAFİR CAM MAMÜLLERİ İNŞ. TİC. VE SAN. LTD. ŞTİ. ,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,4445829,safircam.com,info@safircam.com
sahan kardesler tekstil hali,1886|23673|32474,SAHAN KARDESLER TEKSTIL HALI SAN. VE TIC. LTD. STI. | ŞAHAN KARDEŞLER TEKSTİL HALI SAN. VE TİC. LTD. ŞTİ. | ŞAHAN KARDEŞLER TEKSTİL HALİ SAN. VE TİC. LTD. ŞTİ.,1,CFE - Carpet and Flooring Expo,True,B,RISK,Manual review or relation dedupe,0,1,903423570535,sahancarpet.com,info@sahancarpet.com | muhasebe@sahancarpet.com
sahbaz isi,5391|21074|23712,SAHBAZ ISI SAN. TIC. A.S. | ŞAHBAZ ISI SAN. VE TİC. A.Ş. | ŞAHBAZ ISI SAN. TİC. A.Ş.,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,3523220040 | 903523220040,sahbaz.com.tr,info@sahbaz.com.tr
sam yapi,23550|32763|32848,SAM YAPI ANONIM SIRKETI | ŞAM YAPİ ANONİM ŞİRKETİ | ŞAM YAPI ANONİM ŞİRKETİ,2,Plast Eurasia İstanbul | RePlast Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,2643595250 | 905331690940,csrplastic.com,info@csrplastic.com
saray madeni esya,5395|21079|26754,SARAY MADENİ EŞYA SAN. TİC. LTD. ŞTİ. | Saray Madeni Eşya Sanayi ve Tic. Ltd. Şti. | SARAY MADENİ EŞYA SAN. TİC.  LTD. ŞTİ.,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,3523213990,saraymetal.com,info@saraymetal.com
sempa pompa makina,199|17689|32313,SEMPA POMPA MAKİNA A.S. | SEMPA POMPA MAKİNA A.Ş. | SEMPA POMPA MAKİNA A.Ş.,2,ISK-SODEX | Saha Expo,True,B,RISK,Manual review or relation dedupe,0,1,33234532 | 3323453290 | 903323453290,sempapompa.com,info@sempaltd.com | info@sempapompa.com | insankaynaklari@sempapompa.com
sencam cam kozmetik imalat,5400|21093|23713,SENCAM CAM KOZMETIK IMALAT SAN. VE TIC. LTD. STI. | ŞENCAM CAM KOZMETİK İMALAT SAN. VE TİC. LTD. ŞTİ.  | ŞENCAM CAM KOZMETİK İMALAT SAN. VE TİC. LTD. ŞTİ.,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,,sencamsanayi.com,info@sencamsanayi.com
simar dis,6312|12997|25498,SIMAR DIS TIC. LTD. STI | SIMAR DIS TIC. LTD. STI | SİMAR DIŞ TİC. LTD. ŞTİ,2,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2123202536,simar.com.tr | simarfastener.com,marcel.m@simar.com.tr
superior conta,184|12301|29971,SUPERIOR CONTA | SUPERIOR CONTA | SÜPERİOR CONTA,2,Automechanika İstanbul | ISK-SODEX,True,B,RISK,Manual review or relation dedupe,0,1,2423161658,snpautomotive.com | superiorconta.com.tr,info@superiorconta.com.tr | media@snpautomotive.com | sales1@superiorconta.com.tr | sales2@superiorconta.com.tr | sales3@superiorconta.com.tr | snpgroup@snpautomotive.com
tila hali tekstil ith ihr,1866|23678|31480,TILA HALI TEKSTIL ITH.IHR.SAN.TIC.LTD.STI | TİLA HALI TEKSTİL İTH.İHR.SAN.TİC.LTD.ŞTİ | TİLA HALİ TEKSTİL İTH.İHR.SAN.TİC.LTD.ŞTİ,1,CFE - Carpet and Flooring Expo,True,B,RISK,Manual review or relation dedupe,0,1,905330707333,nmsnurmakina.com,export@tilahali.com.tr | info@nmsnurmakina.com | info@tilahali.com.tr | muhasebe@tilahali.com.tr
turkyilmaz ozel egitim kurumlari,24041|24042|24043,Türkyılmaz Özel Eğitim Kurumları | Türkyılmaz özel eğitim kurumları ltd şti | Türkyilmaz özel eğitim kurumları limited şirketi,1,Atrax,True,B,RISK,Manual review or relation dedupe,0,1,5458529616 | 5533006853 | 5535330430,,aysegulturkyilmaz90@gmail.com | sefer.6868@gmail.com | sinegultekin@gmil.com
universal tekstil,7863|8614|19217,UNİVERSAL TEKSTİL SANAYİ VE TİC.LTD.ŞTİ | UNIVERSAL TEKSTIL SANAYI VE TIC.LTD.STI | UNIVERSAL TEKSTİL SANAYİ VE TİC.LTD.ŞTİ,2,HOMETEX | Texhibition İstanbul,True,B,RISK,Manual review or relation dedupe,0,1,,universaltextile.com.tr,info@universaltextile.com.tr | s.buyukarslan@universaltextile.com.tr
unsal makina,14565|19713|29695,ÜNSAL MAKİNA | ÜNSAL MAKINA SAN.TIC.A.S. | UNSAL MAKINA,2,Ankiros | WIN EURASIA,True,B,RISK,Manual review or relation dedupe,0,1,903523220192,unsalmakina.com.tr,bilgi@unsalmakina.com.tr | info@uksunsal.com | samet.sirin@unsalmakina.com.tr
vinola ankastre mutfak urunleri,5416|21182|23717,VINOLA ANKASTRE MUTFAK ÜRÜNLERI SAN. TIC. A.S. | VİNOLA ANKASTRE MUTFAK ÜRÜNLERİ SAN. TİC. A.Ş. | VİNOLA ANKASTRE MUTFAK ÜRÜNLERİ SAN. TİC. A.Ş.,2,HOST Istanbul Fuarı | Zuchex,True,B,RISK,Manual review or relation dedupe,0,1,3585142929 | 903585142929,vinola.com,info@vinola.com
vis vidasan vida,6296|13006|26125,VIS VIDASAN VIDA SAN. VE TIC. LTD. STI. | VIS VIDASAN VIDA SAN. VE TIC. LTD. STI. | VİS VİDASAN VİDA SAN. VE TİC. LTD. ŞTİ.,2,Fastener Expo Eurasia Fuarı | Hardware Eurasia - Avrasya Uluslararası Hırdavat Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,2126232706 | 5323450847,vidasan.com,info@vidasan.com
vizyon vida kovan makina imalat,2768|2916|31868,VİZYON VİDA KOVAN MAKİNA İMALAT SAN. VE TİC. LTD. ŞTİ | VIZYON VIDA KOVAN MAKINA IMALAT SAN. VE TIC. LTD. STI. | VİZYON VİDA KOVAN MAKİNA İMALAT SAN VE TİC LTD ŞTİ,2,Plast Eurasia İstanbul | RePlast Eurasia,True,B,RISK,Manual review or relation dedupe,0,1,2124070600,vizyonvida.com,info@vizyonvida.com | sales@vizyonvida.com
yukselen celik,17888|18010|25092,YÜKSELEN ÇELİK A.Ş. | YÜKSELEN ÇELIK | YUKSELEN CELIK A.S.,2,METAL EXPO EURASIA İSTANBUL | Saha Expo,True,B,RISK,Manual review or relation dedupe,0,1,2128861133,yukselen.com,invest@yukselen.com | satis@yukselen.com
3s medikal,13696|29044,3S MEDİKAL TİC. LTD. ŞTİ. | 3S MEDİKAL,1,IDEX İSTANBUL,True,B,RISK,Manual review or relation dedupe,0,1,2323685410,3smedikal.com,info@3smedikal.com
abdulkadir ozoglan savan imalati ticareti,23598|31521,ABDÜLKADİR ÖZOĞLAN SAVAN İMALATI VE TİCARETİ | ABDÜLKADİR ÖZOĞLAN SAVAN İMALATİ VE TİCARETİ,1,CFE - Carpet and Flooring Expo,True,B,RISK,Manual review or relation dedupe,0,1,905326828365,vahdetdokuma.com,info@vahdetdokuma.com | vahdetkilim@hotmail.com
aga mobilya ins,4628|24236,AGA MOBILYA INS. SAN. LTD. STI. | AĞA MOBİLYA İNŞ. SAN. LTD. ŞTİ.,1,İstanbul Mobilya Fuarı,True,B,RISK,Manual review or relation dedupe,0,1,3762132342,nevimobilya.com,info@nevimobilya.com | turgay@nevimobilya.com
